,0,pollster,seat,ALP_TPP,COA_TPP
0,2013-09-05 09:26:51,ReachTEL , Bass,41, 59
1,2013-09-01 01:49:57,Galaxy , Blair,50, 50
2,2013-09-01 01:49:07,Galaxy , Griffith,54, 46
3,2013-09-01 00:21:48,Galaxy , Brand,52, 48
4,2013-08-31 11:35:37,Galaxy , Hasluck,45, 55
5,2013-08-31 11:29:23,Galaxy , Perth,58, 42
6,2013-08-31 04:55:54,Galaxy , Dawson,43, 57
7,2013-08-31 04:55:30,Galaxy , Herbert,45, 55
8,2013-08-30 14:27:23,JWSResearch , Bendigo,50.6, 49.4
9,2013-08-30 14:26:56,JWSResearch , McEwen,45.3, 54.7
10,2013-08-30 14:26:30,JWSResearch , McMahon,46.9, 53.1
11,2013-08-30 14:26:01,JWSResearch , Lilley,46.2, 53.8
12,2013-08-30 14:24:37,JWSResearch , Griffith,57.2, 42.8
13,2013-08-30 07:22:16,Galaxy , Adelaide,54, 46
14,2013-08-27 08:20:52,Galaxy , Wakefield,55, 45
15,2013-08-25 01:27:08,Galaxy , Hindmarsh,50, 50
16,2013-08-23 14:17:38,ReachTEL , Franklin,49.4, 50.6
17,2013-08-22 14:25:08,Galaxy , Greenway,49, 51
18,2013-08-22 14:24:39,Galaxy , Reid,47, 53
19,2013-08-22 14:17:35,Galaxy , Parramatta,50, 50
20,2013-08-22 14:16:30,Galaxy , Barton,52, 48
21,2013-08-22 14:04:16,Galaxy , Banks,48, 52
22,2013-08-22 14:01:55,Galaxy , Lindsay,46, 54
23,2013-08-22 14:00:38,Galaxy , Chisholm,52, 48
24,2013-08-22 14:00:03,Galaxy , La Trobe,49, 51
25,2013-08-22 13:59:18,Galaxy , Corangamite,44, 56
26,2013-08-22 13:58:54,Galaxy , Werriwa,48, 52
27,2013-08-17 13:12:05,Coalition_Man #JWSResearch , Aston,36.6, 63.4
28,2013-08-17 12:59:20,ReachTEL , Corangamite,44, 56
29,2013-08-17 12:58:07,ReachTEL , Deakin,47, 53
30,2013-08-16 13:32:21,ReachTEL , McMahon,47, 53
31,2013-08-16 13:31:34,ReachTEL , Blaxland,52, 48
32,2013-08-16 13:31:08,ReachTEL , Bennelong,35, 65
33,2013-08-16 13:30:04,ReachTEL , Kingsford Smith,48, 52
